Ranking,Institution,Faculty Count,Average Citations,Country,Continent
254,University of Canterbury,17,5488.45,New Zealand,Australia
255,Rochester Institute of Technology,99,5461.87,USA,North America
256,Osaka University,32,5447.22,Japan,Asia
257,Tufts University,19,5431.83,USA,North America
258,Université libre de Bruxelles,18,5419.81,Belgium,Europe
259,West Virginia University,15,5419.8,USA,North America
260,Freie Universitaet Berlin,7,5407.6,Germany,Europe
261,University of Düsseldorf,13,5354.0,Germany,Europe
262,Radboud University,58,5340.35,Netherlands,Europe
263,Simula UiB,2,5338.0,Norway,Europe
264,IIT Kanpur,34,5318.21,India,Asia
265,University of Miami,11,5308.57,USA,North America
266,TU Kaiserslautern,27,5271.86,Germany,Europe
267,Syracuse University,33,5256.09,USA,North America
268,Tampere University,41,5255.02,Finland,Europe
269,University of Guelph,30,5249.24,Canada,North America
270,University of Sannio,14,5238.38,Italy,Europe
271,Brigham Young University,30,5224.6,USA,North America
272,University of New Brunswick,21,5216.0,Canada,North America
273,University of Potsdam,14,5213.7,Germany,Europe
274,University of Delaware,31,5211.07,USA,North America
275,Brunel University London,36,5203.74,UK,Europe
276,Qatar Computing Research Institute,16,5192.25,Qatar,Asia
277,ETS Montreal,15,5164.47,Canada,North America
278,Ontario Tech University,15,5157.8,Canada,North America
279,University of Groningen,12,5114.27,Netherlands,Europe
280,Bocconi University,6,5094.33,Italy,Europe
281,University of Bath,30,5088.12,UK,Europe
282,Louisiana State University,16,5061.11,USA,North America
283,Queensland University of Technology,19,5053.53,Australia,Australia
284,Worcester Polytechnic Institute,46,5046.54,USA,North America
285,College of William and Mary,19,5045.31,USA,North America
286,University of Bergen,36,5041.8,Norway,Europe
287,UNC - Charlotte,19,5037.3,USA,North America
288,University of New Mexico,14,4979.14,USA,North America
289,University of Duisburg-Essen,17,4967.77,Germany,Europe
290,University of Augsburg,19,4964.75,Germany,Europe
291,Paderborn University,17,4964.18,Germany,Europe
292,University of Göttingen,16,4949.7,Germany,Europe
293,Brandeis University,16,4943.55,USA,North America
294,Lehigh University,21,4942.17,USA,North America
295,Lancaster University,47,4929.89,UK,Europe
296,Illinois Institute of Technology,24,4926.6,USA,North America
297,AUEB,29,4917.63,Greece,Europe
298,HUST,27,4907.44,China,Asia
299,University of Glasgow,41,4898.57,UK,Europe
300,Harbin Institute of Technology,101,4887.84,China,Asia
301,Universidad Rey Juan Carlos,10,4851.1,Spain,Europe
302,King's College London,51,4850.98,UK,Europe
303,University of Technology Sydney,55,4834.17,Australia,Australia
304,Florida International University,30,4824.91,USA,North America
305,Binghamton University,25,4807.71,USA,North America
306,University of Ulm,18,4795.0,Germany,Europe
307,University of Siegen,13,4778.75,Germany,Europe
308,Beihang University,51,4756.47,China,Asia
309,Virginia Tech,68,4752.37,USA,North America
310,Université de Sherbrooke,18,4721.36,Canada,North America
311,University of South Carolina,33,4701.6,USA,North America
312,Chalmers/GU,102,4684.65,Sweden,Europe
