Ranking,Institution,Faculty Count,Average of Places From Four Metrics,Country,Continent
108,University of Tokyo,87,126.75,Japan,Asia
109,University of Virginia,42,128.5,USA,North America
110,Univ. of Maryland - Baltimore County,34,128.5,USA,North America
111,KU Leuven,49,128.5,Belgium,Europe
112,Monash University,93,129.25,Australia,Australia
113,University of Bremen,20,129.75,Germany,Europe
114,Politecnico di Milano,87,130.75,Italy,Europe
115,Univ. of California - Santa Cruz,70,130.75,USA,North America
116,Queen Mary University of London,36,131.0,UK,Europe
117,TTI Chicago,13,131.25,USA,North America
118,University of Adelaide,34,131.75,Australia,Australia
119,Georgetown University,22,132.5,USA,North America
120,University of Colorado Boulder,79,134.5,USA,North America
121,University of Texas at Dallas,58,135.0,USA,North America
122,MBZUAI,22,135.25,UAE,Asia
123,USTC,30,135.5,China,Asia
124,Boston University,43,135.75,USA,North America
125,University of Central Florida,66,135.75,USA,North America
126,Hasso Plattner Institute,18,137.5,Germany,Europe
127,National Taiwan University,44,138.75,Taiwan,Asia
128,Zhejiang University,108,139.25,China,Asia
129,NWPU,20,140.0,China,Asia
130,Texas A&M University,61,141.75,USA,North America
131,Saarland University,34,142.5,Germany,Europe
132,University of Manitoba,31,148.0,Canada,North America
133,TU Delft,77,149.0,Netherlands,Europe
134,Univ. of California - Merced,22,149.0,USA,North America
135,University of Illinois at Chicago,59,149.5,USA,North America
136,Bar-Ilan University,27,150.0,Israel,Asia
137,University of Hong Kong,33,150.75,Hong Kong,Asia
138,City University of Hong Kong,44,151.0,Hong Kong,Asia
139,York University,43,151.75,Canada,North America
140,Oregon State University,65,152.25,USA,North America
141,University of Southampton,82,153.25,UK,Europe
142,CUNY,82,153.5,USA,North America
143,North Carolina State University,63,155.5,USA,North America
144,Seoul National University,58,155.5,South Korea,Asia
145,TU Wien,64,158.0,Austria,Europe
146,University of Pittsburgh,50,158.5,USA,North America
147,Rensselaer Polytechnic Institute,27,159.0,USA,North America
148,UNSW,70,159.0,Australia,Australia
149,University of South Florida,22,160.25,USA,North America
150,George Mason University,64,160.5,USA,North America
151,JKU Linz,35,160.5,Austria,Europe
152,University of Arizona,26,162.0,USA,North America
153,Temple University,21,166.5,USA,North America
154,Czech Technical University,27,166.5,Czech Republic,Europe
155,University of Helsinki,29,168.25,Finland,Europe
156,University of Leipzig,16,168.25,Germany,Europe
157,University of Surrey,27,173.25,UK,Europe
158,University of Ottawa,46,173.25,Canada,North America
159,TU Eindhoven,53,173.25,Netherlands,Europe
160,McGill University,31,175.0,Canada,North America
161,University of York,51,176.0,UK,Europe
162,EURECOM,26,177.5,France,Europe
163,Ecole Normale Superieure de Cachan,25,181.0,France,Europe
164,Australian National University,64,185.75,Australia,Oceania
165,Radboud University,58,186.25,Netherlands,Europe
166,University of Luxembourg,22,186.5,Luxembourg,Europe
167,Aalto University,50,188.0,Finland,Europe
168,Sapienza University of Rome,88,188.5,Italy,Europe
169,Sun Yat-sen University,15,188.75,China,Asia
170,Singapore Management University,43,189.5,Singapore,Asia
171,University of Calgary,45,189.5,Canada,North America
172,Dartmouth College,26,191.0,USA,North America
173,University of Connecticut,33,191.5,USA,North America
174,University of Vienna,26,192.0,Austria,Europe
175,Fudan University,83,193.25,China,Asia
176,Carleton University,33,193.75,Canada,North America
177,NJIT,37,194.25,USA,North America
178,University of Zurich,18,196.75,Switzerland,Europe
179,University of Warwick,49,197.25,UK,Europe
180,University of Florida,47,198.0,USA,North America
181,Harbin Institute of Technology,101,199.0,China,Asia
182,Universidade de Lisboa,160,199.5,Portugal,Europe
183,IST Austria,47,201.25,Austria,Europe
184,University of Konstanz,14,201.25,Germany,Europe
185,Emory University,20,201.25,USA,North America
186,University of Houston,31,201.5,USA,North America
187,University of Erlangen–Nuremberg,30,202.25,Germany,Europe
188,University of Mannheim,10,204.5,Germany,Europe
189,KTH Royal Institute of Technology,75,204.75,Sweden,Europe
190,Colorado State University,19,208.75,USA,North America
191,University of Athens,37,209.0,Greece,Europe
192,Hong Kong Baptist University,17,213.0,Hong Kong,Asia
193,Goethe University Frankfurt,25,213.75,Germany,Europe
194,Virginia Tech,68,215.5,USA,North America
195,Westlake University,3,216.0,China,Asia
196,University of Liverpool,76,216.5,UK,Europe
197,University of Technology Sydney,55,218.0,Australia,Australia
198,Heidelberg University,26,218.25,Germany,Europe
199,University of Bonn,23,218.5,Germany,Europe
200,Texas A&M at Qatar,12,219.25,Qatar,Asia
201,University of Nebraska,28,219.75,USA,North America
202,University of Nottingham,47,220.5,UK,Europe
203,University of Glasgow,41,220.75,UK,Europe
204,Rochester Institute of Technology,99,221.25,USA,North America
205,Washington State University,53,221.5,USA,North America
206,TU Dresden,28,223.25,Germany,Europe
207,University of Saskatchewan,24,224.25,Canada,North America
208,Lancaster University,47,224.75,UK,Europe
209,University of Auckland,45,225.25,New Zealand,Australia
210,Tampere University,41,225.75,Finland,Europe
211,Kyoto University,48,226.75,Japan,Asia
212,Ruhr-University Bochum,21,229.0,Germany,Europe
213,UESTC,130,229.25,China,Asia
214,NYU Shanghai,3,229.75,China,Asia
215,University of Crete,25,232.0,Greece,Europe
216,Chalmers/GU,102,232.5,Sweden,Europe
217,Uppsala University,75,233.25,Sweden,Europe
218,University of Innsbruck,16,234.0,Austria,Europe
219,NTUA,41,234.25,Greece,Europe
220,UFMG,60,234.25,Brazil,South America
221,SUSTech,47,235.0,China,Asia
222,Brunel University London,36,235.25,UK,Europe
223,Worcester Polytechnic Institute,46,238.0,USA,North America
224,University of Oregon,20,239.5,USA,North America
225,Nanjing University,103,239.75,China,Asia
226,Osaka University,32,241.5,Japan,Asia
227,University of Copenhagen,68,241.75,Denmark,Europe
228,King's College London,51,242.5,UK,Europe
229,TU Kaiserslautern,27,243.5,Germany,Europe
230,Xidian University,61,244.75,China,Asia
231,POSTECH,34,246.0,South Korea,Asia
232,University of Sheffield,53,246.75,UK,Europe
233,University of Hannover,23,247.75,Germany,Europe
234,University of Oklahoma,17,248.5,USA,North America
235,TU Braunschweig,14,248.75,Germany,Europe
236,University of Würzburg,19,249.25,Germany,Europe
237,SUTD,22,249.5,Singapore,Asia
238,University of Missouri,16,250.5,USA,North America
239,University of Birmingham,46,250.5,UK,Europe
240,University of Hamburg,27,250.75,Germany,Europe
241,Northern Arizona University,29,252.75,USA,North America
242,Bielefeld University,13,254.25,Germany,Europe
243,HSE University,17,254.25,Russia,Europe
244,Florida State University,27,254.75,USA,North America
245,University of Massachusetts Boston,16,255.0,USA,North America
246,University of Klagenfurt,32,256.5,Austria,Europe
247,University of Otago,17,256.5,New Zealand,Australia
248,Missouri University of Technology,10,257.5,USA,North America
249,Humboldt University of Berlin,20,258.25,Germany,Europe
250,University of Western Australia,17,258.75,Australia,Australia
251,Polytechnic University of Catalonia,61,259.0,Spain,Europe
252,Macquarie University,30,259.25,Australia,Australia
253,National Chiao Tung University,68,260.5,Taiwan,Asia
254,Soochow University,41,261.75,China,Asia
255,University of Delaware,31,263.5,USA,North America
256,Clemson University,42,263.75,USA,North America
257,Lund University,14,264.0,Sweden,Europe
258,University of Massachusetts Lowell,38,264.5,USA,North America
259,IMDEA Networks Institute,12,265.75,Spain,Europe
260,Ben-Gurion University of the Negev,18,267.5,Israel,Asia
261,CISPA Helmholtz Center,31,269.0,Germany,Europe
262,UCCS,15,270.25,USA,North America
263,Bilkent University,18,270.25,Turkey,Asia
264,AUEB,29,271.0,Greece,Europe
265,Tokyo Institute of Technology,59,271.75,Japan,Asia
266,IIT Guwahati,28,272.0,India,Asia
267,University of Bern,4,272.0,Switzerland,Europe
268,University of Bristol,47,273.0,UK,Europe
269,University of Salerno,70,273.5,Italy,Europe
270,University of Pisa,64,275.0,Italy,Europe
271,Wuhan University,20,275.25,China,Asia
272,Qatar Computing Research Institute,16,275.75,Qatar,Asia
273,Utrecht University,47,276.5,Netherlands,Europe
274,Aarhus University,42,277.25,Denmark,Europe
275,Université libre de Bruxelles,18,279.0,Belgium,Europe
276,University of Leeds,35,280.0,UK,Europe
277,TU Dortmund,21,280.25,Germany,Europe
278,IIT Kanpur,34,280.25,India,Asia
279,University of Bergen,36,280.5,Norway,Europe
280,University of South Carolina,33,281.25,USA,North America
281,University of Victoria,29,281.75,Canada,North America
282,University College Dublin,52,284.25,Ireland,Europe
283,Iowa State University,36,284.5,USA,North America
284,University of Passau,14,285.25,Germany,Europe
