Ranking,Institution,Average of Places From Four Metrics,Country,Continent
561,Universidad de Zaragoza,539.25,Spain,Europe
562,Universidad Nacional de Córdoba,543.75,Argentina,South America
563,DTU,544.25,Denmark,Europe
564,LUMS,544.5,Pakistan,Asia
565,National Institute of Technology Silchar,545.5,India,Asia
566,South Asian University,546.75,India,Asia
567,North Dakota State University,547.5,USA,North America
568,University of Nicosia,550.0,Cyprus,Europe
569,Towson University,552.25,USA,North America
570,BITS Pilani-Goa,552.75,India,Asia
571,University of Nebraska - Omaha,555.5,USA,North America
572,University of New Orleans,556.25,USA,North America
573,University of Malta,558.25,Malta,Europe
574,SUFE,563.25,China,Asia
575,University of Arkansas - Little Rock,563.5,USA,North America
576,Galatasaray University,564.75,Turkey,Europe
577,De La Salle University,565.0,Philippines,Asia
578,New Mexico Tech,566.25,USA,North America
579,Babeș-Bolyai University,567.75,Romania,Europe
580,Indiana State University,567.75,USA,North America
581,UFMS,568.75,Brazil,South America
582,Izmir Institute of Technology,570.75,Turkey,Asia
583,Royal Military College of Canada,574.0,Canada,North America
584,KMUTNB,575.5,Thailand,Asia
585,Universidade Federal de Viçosa,576.0,Brazil,South America
586,Oklahoma State University,577.5,USA,North America
587,Louisiana Tech University,579.0,USA,North America
588,Missouri S&T,579.75,USA,North America
589,Ruhr-Universty Bochum,581.75,Germany,Europe
590,Air Force Institute of Technology,583.5,USA,North America
591,TU Freiberg,586.25,Germany,Europe
592,University of Colorado - Denver,588.0,USA,North America
593,IIT Goa,589.25,India,Asia
594,Chulalongkorn University,591.25,Thailand,Asia
595,LIU Post,592.0,USA,North America
596,Wichita State Unitveristy,595.0,USA,North America
