Ranking,Institution,Faculty Count,Average h-index,Country,Continent
574,TU Freiberg,4,13.0,Germany,Europe
575,UFU,31,12.92,Brazil,South America
576,Augusta University,29,12.58,USA,North America
577,Louisiana Tech University,4,12.5,USA,North America
578,Oklahoma State University,17,12.5,USA,North America
579,Galatasaray University,13,12.38,Turkey,Europe
580,Universidad Nacional de Córdoba,23,12.36,Argentina,South America
581,UFMS,11,12.29,Brazil,South America
582,KMUTNB,11,12.14,Thailand,Asia
583,Missouri S&T,5,12.0,USA,North America
584,Air Force Institute of Technology,10,12.0,USA,North America
585,King Abdulaziz University,37,12.0,Saudi Arabia,Asia
586,University of Colorado - Denver,8,11.5,USA,North America
587,National Institute of Technology Silchar,20,11.25,India,Asia
588,Universidade Federal de Viçosa,13,11.1,Brazil,South America
589,LIU Post,4,11.0,USA,North America
590,University of Jordan,38,10.76,Jordan,Asia
591,Izmir Institute of Technology,11,10.18,Turkey,Asia
592,BITS Pilani-Goa,27,9.59,India,Asia
593,Chulalongkorn University,16,7.5,Thailand,Asia
594,De La Salle University,36,6.16,Philippines,Asia
595,IIT Goa,9,5.67,India,Asia
596,Wichita State Unitveristy,1,3.0,USA,North America
